Created At,Order Type,Side,Crypto Pair / Token name,Order Value,TDS deducted,TDS (In INR)
2025-01-17 18:47:22 +0530,Insta,Sell,USDC,67021.95710640495868 INR,666.26527559477169 INR,666.26527559477169
2025-01-17 13:30:48 +0530,Insta,Sell,ADA,288686.05952647956246 INR,2869.82811775273333 INR,2869.82811775273333
2024-12-04 18:59:37 +0530,Insta,Sell,USDT,2766.40875335065479 INR,27.60875935843953 INR,27.60875935843953
2024-11-18 23:40:58 +0530,Insta,Sell,IO,49058.45773897126561 INR,487.69012838311335 INR,487.69012838311335
2024-11-18 21:29:09 +0530,Insta,Sell,ENA,20231.23808543 INR,201.11873780725963 INR,201.11873780725963
2024-11-16 10:01:41 +0530,Insta,Sell,XRP,114526.48888082682956 INR,1138.50782596429951 INR,1138.50782596429951
2025-01-17 13:01:34 +0530,Spot,Sell,ACAUSDT,606.673949 USDT,6.05460601102 USDT,555.539978482399468539
2025-01-17 22:02:14 +0530,Spot,Sell,COTIINR,295189.98 INR,0.0174197176864 INR,0.0174197176864
2025-01-17 22:00:24 +0530,Spot,Sell,COTIINR,295189.98 INR,206.5401806 INR,206.5401806
2025-01-17 22:00:12 +0530,Spot,Sell,COTIINR,295189.98 INR,350.499778 INR,350.499778
2025-01-17 22:00:04 +0530,Spot,Sell,COTIINR,295189.98 INR,436.7300002 INR,436.7300002
2025-01-17 22:00:00 +0530,Spot,Sell,COTIINR,295189.98 INR,994.0125192 INR,994.0125192
2025-01-17 21:59:56 +0530,Spot,Sell,COTIINR,295189.98 INR,247.7754486 INR,247.7754486
2025-01-17 21:59:51 +0530,Spot,Sell,COTIINR,295189.98 INR,487.6676842 INR,487.6676842
2025-01-17 21:59:47 +0530,Spot,Sell,COTIINR,295189.98 INR,211.2405606623136 INR,211.2405606623136
2025-01-17 16:05:05 +0530,Spot,Sell,DOGEINR,293848.2585 INR,1625.1964997988 INR,1625.1964997988
2025-01-17 16:05:05 +0530,Spot,Sell,DOGEINR,293848.2585 INR,292.7169709191 INR,292.7169709191
2025-01-17 16:05:05 +0530,Spot,Sell,DOGEINR,293848.2585 INR,64.158190077 INR,64.158190077
2025-01-17 16:05:05 +0530,Spot,Sell,DOGEINR,293848.2585 INR,913.0332683976 INR,913.0332683976
2025-01-17 16:05:05 +0530,Spot,Sell,DOGEINR,293848.2585 INR,26.040608556 INR,26.040608556
