Created At,Order Type,Side,Crypto Pair / Token name,Order Value,TDS deducted,TDS (In INR)
2025-10-04 19:23:08 +0530,Insta,Sell,ADA,20580.82803 INR,204.59401144623 INR,204.59401144623
2025-07-18 12:38:32 +0530,Insta,Sell,GALA,100518.920811 INR,1000.16326206945 INR,1000.16326206945
2025-07-11 18:01:44 +0530,Insta,Sell,MOODENG,8938.53426 INR,88.938415887 INR,88.938415887
2025-05-22 06:39:02 +0530,Insta,Sell,SOL,5328.28209761348779 INR,52.96845233237568 INR,52.96845233237568
2025-05-02 10:28:31 +0530,Insta,Sell,SOL,7998.81658084227129 INR,79.51623563015302 INR,79.51623563015302
2025-09-19 08:58:54 +0530,Spot,Sell,ADAINR,10300.2735659 INR,1.976469311829 INR,1.976469311829
2025-09-19 08:58:32 +0530,Spot,Sell,ADAINR,10300.2735659 INR,1.0507636174897 INR,1.0507636174897
2025-09-19 08:55:42 +0530,Spot,Sell,ADAINR,10300.2735659 INR,9.3986182586374 INR,9.3986182586374
2025-09-19 08:54:10 +0530,Spot,Sell,ADAINR,10300.2735659 INR,9.9409996480886 INR,9.9409996480886
2025-09-19 08:54:05 +0530,Spot,Sell,ADAINR,10300.2735659 INR,1.0040407922331 INR,1.0040407922331
2025-09-19 08:53:39 +0530,Spot,Sell,ADAINR,10300.2735659 INR,24.8524999562596 INR,24.8524999562596
2025-09-19 08:51:29 +0530,Spot,Sell,ADAINR,10300.2735659 INR,5.007868219 INR,5.007868219
2025-09-19 08:51:21 +0530,Spot,Sell,ADAINR,10300.2735659 INR,0.9948945354191 INR,0.9948945354191
2025-09-19 08:50:44 +0530,Spot,Sell,ADAINR,10300.2735659 INR,1.0438044363453 INR,1.0438044363453
2025-09-19 08:50:27 +0530,Spot,Sell,ADAINR,10300.2735659 INR,21.8962357931356 INR,21.8962357931356
2025-09-19 08:47:13 +0530,Spot,Sell,ADAINR,10300.2735659 INR,7.9030949125192 INR,7.9030949125192
2025-09-19 08:46:36 +0530,Spot,Sell,ADAINR,10300.2735659 INR,3.477918496 INR,3.477918496
2025-09-19 08:45:57 +0530,Spot,Sell,ADAINR,10300.2735659 INR,5.8651893409117 INR,5.8651893409117
2025-09-19 08:44:01 +0530,Spot,Sell,ADAINR,10300.2735659 INR,4.9704998240443 INR,4.9704998240443
2025-09-19 08:42:35 +0530,Spot,Sell,ADAINR,10300.2735659 INR,1.9881997624101 INR,1.9881997624101
2025-09-19 08:42:06 +0530,Spot,Sell,ADAINR,10300.2735659 INR,1.0239226142892 INR,1.0239226142892
2025-06-28 08:11:43 +0530,Spot,Sell,BTTCUSDT,0.0000002158499431727959222 USDT,0.0000000021585 USDT,0.0000001921065
2025-06-24 16:46:52 +0530,Spot,Sell,1000SATSUSDT,0.0000003617526576844242239394 USDT,0.00000000361753 USDT,0.00000031834264
2025-07-17 13:42:08 +0530,Spot,Sell,VIRTUALINR,97102.32 INR,79.33728341385 INR,79.33728341385
2025-07-17 13:42:01 +0530,Spot,Sell,VIRTUALINR,97102.32 INR,461.3616 INR,461.3616
2025-07-17 13:41:56 +0530,Spot,Sell,VIRTUALINR,97102.32 INR,186.6752335 INR,186.6752335
2025-07-17 13:41:50 +0530,Spot,Sell,VIRTUALINR,97102.32 INR,219.8996765 INR,219.8996765
2025-07-17 13:35:37 +0530,Spot,Sell,VIRTUALINR,97102.32 INR,18.89429058615 INR,18.89429058615
2025-07-13 12:23:02 +0530,Spot,Sell,HBARINR,92878.5 INR,28.23545436465 INR,28.23545436465
2025-07-13 12:23:00 +0530,Spot,Sell,HBARINR,92878.5 INR,85.953075 INR,85.953075
2025-07-13 12:22:57 +0530,Spot,Sell,HBARINR,92878.5 INR,197.711475 INR,197.711475
2025-07-13 12:20:18 +0530,Spot,Sell,HBARINR,92878.5 INR,1.978258915425 INR,1.978258915425
2025-07-13 12:18:46 +0530,Spot,Sell,HBARINR,92878.5 INR,246.828356405475 INR,246.828356405475
2025-07-13 12:17:56 +0530,Spot,Sell,HBARINR,92878.5 INR,245.181591336825 INR,245.181591336825
2025-07-13 12:13:46 +0530,Spot,Sell,HBARINR,92878.5 INR,98.915337905475 INR,98.915337905475
2025-07-13 12:07:53 +0530,Spot,Sell,HBARINR,92878.5 INR,19.33752607215 INR,19.33752607215
2025-07-11 16:39:18 +0530,Spot,Sell,XLMINR,76505.0 INR,0.227159370625 INR,0.227159370625
2025-07-11 16:38:55 +0530,Spot,Sell,XLMINR,76505.0 INR,760.997590629375 INR,760.997590629375
2025-05-23 07:50:49 +0530,Spot,Sell,ETHINR,71286.6 INR,78.69663417 INR,78.69663417
2025-05-23 07:50:27 +0530,Spot,Sell,ETHINR,71286.6 INR,29.822970177 INR,29.822970177
2025-05-23 07:50:23 +0530,Spot,Sell,ETHINR,71286.6 INR,4.939494021 INR,4.939494021
2025-05-23 07:50:13 +0530,Spot,Sell,ETHINR,71286.6 INR,49.305381741 INR,49.305381741
2025-05-23 07:49:51 +0530,Spot,Sell,ETHINR,71286.6 INR,316.899198 INR,316.899198
2025-05-23 07:49:49 +0530,Spot,Sell,ETHINR,71286.6 INR,24.552798732 INR,24.552798732
2025-05-23 07:49:42 +0530,Spot,Sell,ETHINR,71286.6 INR,4.969346844 INR,4.969346844
2025-05-23 07:49:24 +0530,Spot,Sell,ETHINR,71286.6 INR,199.474266915 INR,199.474266915
2025-05-22 04:56:28 +0530,Spot,Sell,ONDOINR,71139.6 INR,707.1987636 INR,707.1987636
2025-05-21 10:23:13 +0530,Spot,Sell,ONDOINR,3.9901446 INR,0.0396660274686 INR,0.0396660274686
"","","","","",Total,5596.007826621739
